Mean Young's Modulus Hertz [Pa] # 617 
Max indentation (Hertz Fit)[nm] # 300.0 
Tip radius [nm] # 3000.0 
Elastic constant [N/m] #0.022
Avg Indentation [nm] 	 Avg Force [nN] 	 Error Force [nN] 
0.0	0.0	0.0
3.999611187689265	0.0032035105654340387	0.01465752363683768
7.99922237537853	-0.0012222493989507317	0.03178002994662421
11.998833563067794	-0.010023753191253343	0.04088340825247907
15.99844475075706	-0.019275391042941122	0.04987634156172145
19.998055938446324	-0.025016070374806545	0.05843062319322677
23.99766712613559	-0.02521686680742642	0.06740160358652764
27.997278313824854	-0.020595821145084597	0.07164317106130656
31.99688950151412	-0.0067896547636262655	0.05603319959817592
35.99650068920339	-0.001732275422303177	0.052116424420778115
39.99611187689265	-0.002011365937768156	0.052263557812102505
43.99572306458191	-0.001022010505122361	0.05915923863701108
47.99533425227118	1.969999271209745e-05	0.06553700674728843
51.994945439960446	0.0036989192612280875	0.07053472293699305
55.99455662764971	0.010650650100468551	0.072061218464805
59.99416781533897	0.02147280621411229	0.058440176604466
63.99377900302824	0.024115496471737146	0.05353498977751981
67.9933901907175	0.02511910340079392	0.05080685891024698
71.99300137840677	0.02562099174892862	0.057848228078341855
75.99261256609603	0.024588977097933205	0.0685776838051259
79.9922237537853	0.02404615600173116	0.07664518498252837
83.99183494147456	0.026125689184535242	0.0807847832077591
87.99144612916382	0.029872026006934695	0.08231542394065829
91.99105731685309	0.04086069276499953	0.06689967568622089
95.99066850454236	0.044109954541706284	0.06797416094187543
99.99027969223162	0.045358186162044664	0.07207631188317208
103.98989087992089	0.05000208133125678	0.0762722122640464
107.98950206761015	0.059811857408221925	0.0805334270840371
111.98911325529942	0.06926509174258136	0.08194399063829645
115.98872444298868	0.07704371836589739	0.07980784864506463
119.98833563067794	0.08569161155947409	0.06640112845629044
123.9879468183672	0.08520962425588675	0.06744248983376362
127.98755800605647	0.08430229625908393	0.07832187256154138
131.98716919374573	0.08104902999014586	0.08506806662837002
135.986780381435	0.08116977228479089	0.0900084313478063
139.98639156912427	0.08679005239051807	0.09297453780694838
143.98600275681355	0.09881209118257638	0.09081892326988024
147.9856139445028	0.10704038835403733	0.08701862872028249
151.98522513219206	0.11310658937813467	0.08323007325772143
155.98483631988134	0.11877860830856479	0.08335860951570337
159.9844475075706	0.12612141009016362	0.08767417042777154
163.98405869525985	0.13180395553220728	0.08962459003279907
167.98366988294913	0.13738355861474205	0.08863188864340307
171.98328107063838	0.14277588032617164	0.08462433052352503
175.98289225832764	0.14520124177221852	0.08182635524287518
179.98250344601692	0.1456100983424431	0.08371454389354485
183.98211463370617	0.14436096277446592	0.090532611460402
187.98172582139546	0.1431589859328338	0.10012243248881383
191.9813370090847	0.1442306346220344	0.10908366251545294
195.98094819677397	0.1485876003703798	0.11337303767271742
199.98055938446325	0.16101085199681087	0.11080745255928441
203.9801705721525	0.16976575141667594	0.1083755817701822
207.97978175984179	0.17597548286691747	0.10490316187659242
211.97939294753104	0.17921324541412642	0.10466166781061766
215.9790041352203	0.183020429024039	0.10840751595906951
219.97861532290958	0.18808043149727757	0.11502758951352927
223.97822651059883	0.1977349746490523	0.1196940166564532
227.97783769828808	0.20636938651519812	0.12334717250694846
231.97744888597737	0.21857231484022493	0.1165797614678257
235.97706007366662	0.22461928167090264	0.11334906239604929
239.97667126135588	0.22595556799995653	0.11294152999642135
243.97628244904516	0.2269095963496488	0.11603604481677036
247.9758936367344	0.2304610511664055	0.12264658465276525
251.9755048244237	0.2364951991944264	0.1293883466481384
255.97511601211295	0.24316103887600837	0.13227747170841903
259.9747271998022	0.250850624049129	0.13046750659680692
263.97433838749146	0.25826603808399223	0.1284577275118551
267.97394957518077	0.2659098345789284	0.1262139442522196
271.97356076287	0.27487266173299	0.12556611518493094
275.9731719505593	0.2837397606962467	0.12708404853540115
279.97278313824853	0.29537469215213336	0.12816551341262342
283.9723943259378	0.30636578162341765	0.1316898756931019
287.9720055136271	0.3125595666122407	0.13370624530868017
291.97161670131635	0.3154244365614323	0.13471908636827995
295.9712278890056	0.3167331731043686	0.13772445179496154
299.97083907669486	0.31899865348337875	0.1414874883682781
303.9704502643841	0.32451159439287375	0.14359990063553552
307.97006145207337	0.33459498488077327	0.14483556529969233
311.9696726397627	0.34556887575531214	0.14833375518124864
315.96928382745193	0.3507949756076132	0.14925569602987523
319.9688950151412	0.3525156640076218	0.14907804124556379
323.96850620283044	0.35567350406544535	0.15034643533113778
327.9681173905197	0.3595451606907154	0.15498834515394241
331.967728578209	0.3642775613542675	0.15828268572268617
335.96733976589826	0.37002415210830103	0.16009148019364375
339.9669509535875	0.37674275692577786	0.16197577098144328
343.96656214127677	0.3832370002094416	0.16416708321722004
347.966173328966	0.3874874708111422	0.16437368797363475
351.9657845166553	0.39264179379117287	0.16738353041996712
355.9653957043446	0.3993960594648954	0.17298647818442656
359.96500689203384	0.4073936446638146	0.1781639250760673
363.9646180797231	0.41628548694578515	0.18168925641798334
367.96422926741235	0.4257075256570925	0.1832660140710997
371.9638404551016	0.43468052589226475	0.1816623826458602
375.9634516427909	0.4417947491262898	0.17948713592389495
379.96306283048017	0.448698483386912	0.17827645275349208
383.9626740181694	0.4568479756188535	0.17935728589900646
387.9622852058587	0.46466125499746685	0.18191400097619287
391.96189639354793	0.47163691619624554	0.1838785503565789
395.96150758123724	0.476360435015929	0.185486881293325
399.9611187689265	0.47621087840286935	0.18570008157491708
403.96072995661575	0.47645016221569825	0.1854598777872433
407.960341144305	0.4801618133560117	0.18742672519565323
